eventID,time,location,description,arrest, source
24561,5/27/2019 23:42,"(41.737709752, -87.740958098)",FIRST DEGREE MURDER,TRUE,Official
24562,5/28/2019 0:25,"(41.914092032, -87.717899225)",FIRST DEGREE MURDER,FALSE,Official
24563,5/28/2019 9:25,"(41.902876025, -87.774176927)",FIRST DEGREE MURDER,TRUE,Official
24567,5/29/2019 14:24,"(41.736774091, -87.562420599)",FIRST DEGREE MURDER,TRUE,Official
24566,5/29/2019 11:42,"(41.790314426, -87.670944722)",FIRST DEGREE MURDER,FALSE,Official
24565,5/29/2019 2:29,"(41.752400342, -87.61980025)",FIRST DEGREE MURDER,FALSE,Official
24564,5/29/2019 0:50,"(41.773864414, -87.588808175)",FIRST DEGREE MURDER,TRUE,Official
24568,5/29/2019 21:37,"(41.688181442, -87.619499848)",FIRST DEGREE MURDER,FALSE,Official
24041,7/8/2018 12:46,"(41.901241115, -87.764809559)",FIRST DEGREE MURDER,TRUE,Official
24495,4/18/2019 10:36,"(41.770668945, -87.610550542)",FIRST DEGREE MURDER,TRUE,Official
24569,5/30/2019 13:34,"(41.726560961, -87.608129133)",FIRST DEGREE MURDER,FALSE,Official
24570,5/30/2019 13:44,"(41.726560961, -87.608129133)",FIRST DEGREE MURDER,FALSE,Official
24581,5/30/2019 15:45,"(41.846160861, -87.695259926)",FIRST DEGREE MURDER,TRUE,Official
24584,1/3/2018 11:38,"(41.77073417, -87.606968284)",FIRST DEGREE MURDER,TRUE,Official
24573,5/31/2019 22:44,"(41.908795816, -87.731388637)",FIRST DEGREE MURDER,FALSE,Official
24572,5/31/2019 21:13,"(41.750320089, -87.666383069)",FIRST DEGREE MURDER,FALSE,Official
24571,5/31/2019 20:28,"(41.759656906, -87.574916355)",FIRST DEGREE MURDER,TRUE,Official
24575,6/1/2019 5:09,"(41.753272058, -87.648962792)",FIRST DEGREE MURDER,FALSE,Official
24580,6/1/2019 6:35,"(41.960145088, -87.699653761)",FIRST DEGREE MURDER,FALSE,Official
24574,6/1/2019 0:07,"(41.897949791, -87.728625471)",FIRST DEGREE MURDER,FALSE,Official
24578,6/2/2019 6:30,"(41.911161199, -87.633564277)",FIRST DEGREE MURDER,FALSE,Official
24577,6/2/2019 4:39,"(41.804772841, -87.633256046)",FIRST DEGREE MURDER,FALSE,Official
24579,6/2/2019 6:33,"(41.911161199, -87.633564277)",FIRST DEGREE MURDER,FALSE,Official
24213,10/3/2018 21:28,"(41.877818912, -87.738784677)",FIRST DEGREE MURDER,TRUE,Official
24582,6/3/2019 16:12,"(41.874526187, -87.711901076)",FIRST DEGREE MURDER,FALSE,Official
24417,2/23/2019 0:43,"(41.896721646, -87.759902047)",FIRST DEGREE MURDER,FALSE,Official
24576,6/1/2019 7:46,"(41.877622161, -87.750727697)",FIRST DEGREE MURDER,TRUE,Official
24583,6/4/2019 21:11,"(41.890728337, -87.682689318)",FIRST DEGREE MURDER,TRUE,Official
24529,5/5/2019 13:48,"(41.909933281, -87.773986759)",FIRST DEGREE MURDER,TRUE,Official
24586,6/5/2019 13:38,"(41.890176109, -87.750532837)",FIRST DEGREE MURDER,TRUE,Official
24587,6/5/2019 18:55,"(41.862007878, -87.727492147)",FIRST DEGREE MURDER,FALSE,Official
24585,6/5/2019 2:10,"(41.788480446, -87.623928854)",FIRST DEGREE MURDER,FALSE,Official
24251,9/9/2018 15:35,"(41.778103008, -87.695803034)",FIRST DEGREE MURDER,FALSE,Official
24588,6/6/2019 11:30,"(41.777810401, -87.593008043)",FIRST DEGREE MURDER,FALSE,Official
24074,7/23/2018 0:12,"(41.901348592, -87.71651188)",FIRST DEGREE MURDER,TRUE,Official
24589,6/7/2019 0:21,"(41.926729375, -87.631347326)",FIRST DEGREE MURDER,FALSE,Official
24590,6/8/2019 6:44,"(41.838058092, -87.710954949)",FIRST DEGREE MURDER,FALSE,Official
24591,6/8/2019 15:06,"(41.793597589, -87.627785273)",FIRST DEGREE MURDER,FALSE,Official
24594,6/9/2019 10:41,"(41.696804495, -87.535282089)",FIRST DEGREE MURDER,FALSE,Official
24592,6/9/2019 3:22,"(41.774093686, -87.607047693)",FIRST DEGREE MURDER,FALSE,Official
19304,3/27/2010 4:50,"(41.668569194, -87.620188694)",FIRST DEGREE MURDER,TRUE,Official
20486,6/30/2012 2:15,"(41.84547885, -87.731079671)",FIRST DEGREE MURDER,TRUE,Official
20487,6/30/2012 2:15,"(41.84547885, -87.731079671)",FIRST DEGREE MURDER,TRUE,Official
24593,6/11/2019 22:46,"(41.723339662, -87.632089363)",FIRST DEGREE MURDER,FALSE,Official
24607,2/2/2019 17:03,"(41.77327712, -87.703006844)",FIRST DEGREE MURDER,TRUE,Official
24595,6/12/2019 0:01,"(41.773068142, -87.644613509)",FIRST DEGREE MURDER,FALSE,Official
24596,6/12/2019 8:28,"(41.795380992, -87.665835417)",FIRST DEGREE MURDER,FALSE,Official
24082,7/26/2018 1:17,"(41.799140951, -87.647712137)",FIRST DEGREE MURDER,TRUE,Official
24427,3/8/2019 15:36,"(41.959119468, -87.728271764)",FIRST DEGREE MURDER,TRUE,Official
24598,6/13/2019 18:35,"(41.88390335, -87.71751699)",FIRST DEGREE MURDER,FALSE,Official
24597,6/13/2019 0:15,"(41.924228431, -87.747117979)",FIRST DEGREE MURDER,TRUE,Official
24552,5/21/2019 6:40,"(41.85834689, -87.717659458)",FIRST DEGREE MURDER,TRUE,Official
2812,7/22/2004 3:13,"(41.654363697, -87.603886182)",FIRST DEGREE MURDER,TRUE,Official
24599,6/15/2019 8:02,"(41.884897329, -87.754014481)",FIRST DEGREE MURDER,FALSE,Official
